City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Tabuk,PH,17.4189,121.4443,83.57,72,95,4.14,overcast clouds
132,Ossora,RU,59.2353,163.0719,38.62,46,27,0.96,scattered clouds
133,Faya,SA,18.3851,42.4509,64.51,59,92,5.97,overcast clouds
134,Cape Town,ZA,-33.9258,18.4232,59.09,82,20,3.44,few clouds
135,Richards Bay,ZA,-28.783,32.0377,68.2,87,93,8.86,overcast clouds
136,Chumikan,RU,54.7183,135.315,47.01,51,48,18.77,scattered clouds
137,Shagonar,RU,51.5333,92.8,37.11,56,100,1.43,overcast clouds
138,Bethel,US,41.3712,-73.414,66.49,88,20,0.0,few clouds
139,Pevek,RU,69.7008,170.3133,25.56,76,100,0.4,overcast clouds
140,Koungou,YT,-12.7336,45.2042,78.51,78,75,11.5,light rain
141,Akdepe,TM,42.0551,59.3788,32.0,65,5,13.15,clear sky
142,Cine,TR,37.6117,28.0614,54.5,61,6,1.52,clear sky
143,Taywarah,AF,33.35,64.4167,43.72,45,0,1.03,clear sky
144,Phan Thiet,VN,10.9333,108.1,83.89,75,93,14.54,overcast clouds
145,Limbang,MY,4.75,115.0,86.31,58,72,2.26,broken clouds
146,Funadhoo,MV,6.15,73.2667,82.96,78,71,16.91,broken clouds
147,Gobabis,NA,-22.45,18.9667,59.9,11,0,10.2,clear sky
148,Kaitangata,NZ,-46.2817,169.8464,54.32,81,85,5.93,overcast clouds
149,Barrow,US,71.2906,-156.7887,30.22,80,90,17.27,light snow
150,Ilulissat,GL,69.2167,-51.1,26.62,36,53,8.05,broken clouds
151,Abu Samrah,SY,35.3029,37.1841,66.49,29,0,2.28,clear sky
152,Ponazyrevo,RU,58.3578,46.3142,41.34,85,99,4.9,overcast clouds
153,Kirakira,SB,-10.4544,161.9205,84.09,72,100,8.05,overcast clouds
154,Port Hardy,CA,50.6996,-127.4199,51.98,76,75,4.61,broken clouds
155,Tsiroanomandidy,MG,-18.7667,46.0333,66.04,61,100,7.43,overcast clouds
156,Barwadih,IN,23.8333,84.1167,74.88,69,1,2.75,clear sky
157,Geraldton,AU,-28.7667,114.6,66.61,39,2,18.41,clear sky
158,Illapel,CL,-31.6308,-71.1653,51.96,70,0,0.89,clear sky
159,Vila Velha,BR,-20.3297,-40.2925,69.75,83,75,9.22,broken clouds
160,Lorengau,PG,-2.0226,147.2712,85.86,61,99,8.34,overcast clouds
161,Maumere,ID,-8.6199,122.2111,85.48,64,28,4.54,scattered clouds
162,Benguela,AO,-12.5763,13.4055,71.69,81,17,4.61,few clouds
163,Isfana,KG,39.8386,69.5306,39.76,84,83,3.04,broken clouds
164,Rawson,AR,-43.3002,-65.1023,63.28,32,80,5.7,broken clouds
165,Kafue,ZM,-15.7691,28.1814,68.61,52,14,4.29,few clouds
166,Alampur,IN,15.8833,78.15,78.67,84,97,10.96,overcast clouds
167,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,3.44,overcast clouds
168,Bozoum,CF,6.3193,16.3799,68.61,97,100,1.83,overcast clouds
169,Angoram,PG,-4.0625,144.0661,92.48,50,15,3.02,few clouds
170,Nikolskoye,RU,59.7035,30.7861,51.87,71,100,7.02,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,46.96,73,23,18.48,light rain
172,Fairbanks,US,64.8378,-147.7164,43.14,79,75,4.61,broken clouds
173,Yangmei,CN,24.1023,112.5618,64.09,99,100,8.08,light rain
174,Porbandar,IN,21.6422,69.6093,83.46,77,96,1.95,overcast clouds
175,Shimanovsk,RU,52.0,127.7,42.31,94,100,4.97,light rain
176,Rincon,US,32.296,-81.2354,75.11,99,40,0.0,scattered clouds
177,Dalbandin,PK,28.8947,64.4101,69.26,20,0,8.37,clear sky
178,Cherskiy,RU,68.75,161.3,11.8,90,66,2.8,broken clouds
179,Namwala,ZM,-15.7504,26.4384,71.98,49,5,4.23,clear sky
180,Lompoc,US,34.6391,-120.4579,64.38,69,1,8.99,clear sky
181,Isilkul,RU,54.9109,71.2728,35.98,68,5,10.04,clear sky
182,Arraial Do Cabo,BR,-22.9661,-42.0278,68.65,66,100,9.01,overcast clouds
183,Leningradskiy,RU,69.3833,178.4167,25.0,92,100,0.94,overcast clouds
184,Port Elizabeth,ZA,-33.918,25.5701,62.89,72,0,19.57,clear sky
185,Taoudenni,ML,22.6783,-3.9836,86.65,11,61,3.53,broken clouds
186,Mar Del Plata,AR,-38.0023,-57.5575,54.12,72,0,7.0,clear sky
187,Hithadhoo,MV,-0.6,73.0833,82.49,72,99,8.01,overcast clouds
188,Padang,ID,-0.9492,100.3543,84.25,72,88,3.22,overcast clouds
189,Klaksvik,FO,62.2266,-6.589,50.92,98,100,12.35,overcast clouds
190,Jequitinhonha,BR,-16.4339,-41.0033,73.09,87,99,3.53,overcast clouds
191,Merauke,ID,-8.4667,140.3333,86.5,67,96,7.81,overcast clouds
192,Grand Baie,MU,-20.0182,57.5802,70.27,78,6,3.0,clear sky
193,Port Lincoln,AU,-34.7333,135.8667,61.14,60,97,15.1,overcast clouds
194,Bairiki,KI,1.3292,172.9752,86.0,66,40,13.8,scattered clouds
195,San Cristobal,VE,7.7669,-72.225,69.98,89,95,2.46,overcast clouds
196,Camacha,PT,33.0833,-16.3333,68.76,73,75,9.22,broken clouds
197,Dombarovskiy,RU,50.7587,59.5386,39.58,65,2,4.88,clear sky
198,Chuy,UY,-33.6971,-53.4616,52.43,77,77,7.43,broken clouds
199,Alice Springs,AU,-23.7,133.8833,96.35,9,3,12.66,clear sky
