City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
75,Labuhan,ID,87.19,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
77,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
82,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
83,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
86,Bandrele,YT,78.55,light rain,-12.9067,45.1914,Les Baobabs
88,Borba,BR,74.01,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
91,Yatou,CN,73.45,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
93,San Felipe,VE,73.71,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
94,Puerto Concordia,CO,73.08,broken clouds,2.6221,-72.7572,Hotel El Jardín
95,Los Negros,BO,83.75,overcast clouds,-17.7333,-63.4333,NA
104,Guerrero Negro,MX,72.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
105,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
108,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
109,Urucara,BR,77.5,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
112,Sao Filipe,CV,79.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
116,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
118,Nouadhibou,MR,75.18,dust,20.931,-17.0347,El Medina
120,Katsuura,JP,78.84,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
128,Majene,ID,83.79,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
131,Tabuk,PH,83.57,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
140,Koungou,YT,78.51,light rain,-12.7336,45.2042,Villa Netibor
144,Phan Thiet,VN,83.89,overcast clouds,10.9333,108.1,Hotel Saigon-PT
145,Limbang,MY,86.31,broken clouds,4.75,115.0,Purnama Hotel
146,Funadhoo,MV,82.96,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
153,Kirakira,SB,84.09,overcast clouds,-10.4544,161.9205,SanBiz Lodge
156,Barwadih,IN,74.88,clear sky,23.8333,84.1167,Forest Rest House
160,Lorengau,PG,85.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
161,Maumere,ID,85.48,scattered clouds,-8.6199,122.2111,Sylvia Hotel
162,Benguela,AO,71.69,few clouds,-12.5763,13.4055,Hotel Praia Morena
166,Alampur,IN,78.67,overcast clouds,15.8833,78.15,Haritha Hotel Alampur
174,Porbandar,IN,83.46,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
176,Rincon,US,75.11,scattered clouds,32.296,-81.2354,Days Inn Rincon
179,Namwala,ZM,71.98,clear sky,-15.7504,26.4384,Corner Point Lodge
185,Taoudenni,ML,86.65,broken clouds,22.6783,-3.9836,NA
187,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
188,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
190,Jequitinhonha,BR,73.09,overcast clouds,-16.4339,-41.0033,Hotel Bela Vista
191,Merauke,ID,86.5,overcast clouds,-8.4667,140.3333,NA
192,Grand Baie,MU,70.27,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
194,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
201,San Policarpo,PH,74.12,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
203,Conceicao Do Araguaia,BR,84.67,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
206,Humberto De Campos,BR,78.19,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
207,Daru,PG,82.63,overcast clouds,-9.0763,143.2092,Daru Lodge
208,Kutum,SD,73.58,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
214,Umm Kaddadah,SD,81.66,scattered clouds,13.6017,26.6876,NA
216,Garissa,KE,75.36,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
217,Rongcheng,CN,72.07,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
222,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
226,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
227,Umm Lajj,SA,82.67,clear sky,25.0213,37.2685,Moon light Furnished Units
229,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
231,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
233,Dingle,PH,78.35,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
234,Abeche,TD,80.83,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
237,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
241,Adelaide,AU,71.55,broken clouds,-34.9333,138.6,The Chancellor on Currie
245,Lat Yao,TH,82.49,overcast clouds,15.751,99.7893,หจก. ลาดยาวการเกษตร
246,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
248,Thinadhoo,MV,83.05,overcast clouds,0.5333,72.9333,NA
249,Shimoda,JP,77.36,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
250,Kloulklubed,PW,83.98,moderate rain,7.0419,134.2556,Storyboard Beach Resort
251,Kavieng,PG,82.76,moderate rain,-2.5744,150.7967,Nusa Island Retreat
252,Vidalia,US,73.35,overcast clouds,32.2177,-82.4135,Quality Inn & Suites
254,San Borja,BO,81.37,overcast clouds,-14.8167,-66.85,NA
255,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
258,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
260,Palasa,IN,82.29,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
263,Namatanai,PG,78.98,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
272,Safaga,EG,75.15,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
276,Robertsport,LR,78.98,light rain,6.7533,-11.3686,Kwepunha Retreat
280,Pimenta Bueno,BR,75.18,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
281,Puerto Carreno,CO,76.77,light rain,6.189,-67.4859,Casa Hotel Victoria
283,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
285,Lakatoro,VU,81.41,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
288,Manggar,ID,85.15,broken clouds,-2.8833,108.2667,Guest Hotel
289,Bousse,BF,80.17,scattered clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
290,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
291,Sabha,LY,74.07,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
295,Samarai,PG,81.34,scattered clouds,-10.6167,150.6667,Nuli Sapi
296,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
298,Kokopo,PG,78.69,moderate rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
300,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
303,Harlingen,US,82.58,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
